Keyword,Type,Lesson,Relevant Code
ShareCompat setChooserTitle,java,"UD.GDC.AD.5.20, UD.GDC.AD.5.21","UD.GDC.AD.T04b.03, UD.GDC.AD.S04.03"
ShareCompat startChooser,java,"UD.GDC.AD.5.20, UD.GDC.AD.5.21","UD.GDC.AD.T04b.03, UD.GDC.AD.S04.03"
intro to activity lifecyle,lesson,"UD.GDC.AD.6.3, UD.GDC.AD.6.4, UD.GDC.AD.6.6",N/A
activity lifecyle onStart,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01
activity lifecyle onPause,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01
activity lifecyle onStop,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01
activity lifecyle onDestry,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01
activity lifecyle onCreate,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01
activity lifecyle onResume,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01
onSaveInstanceState,java,"UD.GDC.AD.6.7, UD.GDC.AD.6.8",UD.GDC.AD.T05a.02
Bundle,java,"UD.GDC.AD.6.7, UD.GDC.AD.6.8",UD.GDC.AD.T05a.02
Bundle putString,java,"UD.GDC.AD.6.7, UD.GDC.AD.6.8, UD.GDC.AD.6.12, UD.GDC.AD.6.13","UD.GDC.AD.T05a.02, UD.GDC.AD.T05b.01"
savedInstanceState containsKey,java,"UD.GDC.AD.6.7, UD.GDC.AD.6.8",UD.GDC.AD.T05a.02
savedInstanceState getString,java,"UD.GDC.AD.6.7, UD.GDC.AD.6.8, UD.GDC.AD.6.12, UD.GDC.AD.6.13","UD.GDC.AD.T05a.02, UD.GDC.AD.T05b.01"
onSaveInstanceState rotation,java,UD.GDC.AD.6.9,UD.GDC.AD.T05a.03
intro to saving data upon app termination,lesson,"UD.GDC.AD.6.10, UD.GDC.AD.6.11",N/A
onSaveInstanceState persist data,java,"UD.GDC.AD.6.7, UD.GDC.AD.6.8, UD.GDC.AD.6.12, UD.GDC.AD.6.13","UD.GDC.AD.T05a.02, UD.GDC.AD.T05b.01"
raw JSON from http,java,"UD.GDC.AD.6.12, UD.GDC.AD.6.13",UD.GDC.AD.T05b.01
intro to AsyncTaskLoader,lesson,UD.GDC.AD.6.14,N/A
AsyncTaskLoader,java,"UD.GDC.AD.6.16, UD.GDC.AD.6.17",UD.GDC.AD.T05b.02
