Keyword,Type,Lesson,Relevant Code,Source
activity lifecyle onCreate,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01,COURSE
activity lifecyle onResume,java,UD.GDC.AD.6.5,UD.GDC.AD.T05a.01,COURSE
onSaveInstanceState,java,UD.GDC.AD.6.7;UD.GDC.AD.6.8,UD.GDC.AD.T05a.02,COURSE
Bundle,java,UD.GDC.AD.6.7;UD.GDC.AD.6.8,UD.GDC.AD.T05a.02,COURSE
Bundle putString,java,UD.GDC.AD.6.7;UD.GDC.AD.6.8;UD.GDC.AD.6.12;UD.GDC.AD.6.13,UD.GDC.AD.T05a.02;UD.GDC.AD.T05b.01,COURSE
savedInstanceState containsKey,java,UD.GDC.AD.6.7;UD.GDC.AD.6.8,UD.GDC.AD.T05a.02,COURSE
savedInstanceState getString,java,UD.GDC.AD.6.7;UD.GDC.AD.6.8;UD.GDC.AD.6.12;UD.GDC.AD.6.13,UD.GDC.AD.T05a.02;UD.GDC.AD.T05b.01,COURSE
onSaveInstanceState rotation,java,UD.GDC.AD.6.9,UD.GDC.AD.T05a.03,COURSE
intro to saving data upon app termination,lesson,UD.GDC.AD.6.10;UD.GDC.AD.6.11,N/A,COURSE
onSaveInstanceState persist data,java,UD.GDC.AD.6.7;UD.GDC.AD.6.8;UD.GDC.AD.6.12;UD.GDC.AD.6.13,UD.GDC.AD.T05a.02;UD.GDC.AD.T05b.01,COURSE
raw JSON from http,java,UD.GDC.AD.6.12;UD.GDC.AD.6.13,UD.GDC.AD.T05b.01,COURSE
intro to AsyncTaskLoader,lesson,UD.GDC.AD.6.14,N/A,COURSE
AsyncTaskLoader,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17,UD.GDC.AD.T05b.02,COURSE
implements LoaderManager.LoaderCallbacks,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20;UD.GDC.AD.10.43;UD.GDC.AD.10.44,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01;UD.GDC.AD.S09.05,COURSE
AsyncTaskLoader onCreateLoader,java,UD.GDC.AD.6.16;UD.GDC.AD.6.17;UD.GDC.AD.6.20,UD.GDC.AD.T05b.02;UD.GDC.AD.S05.01,COURSE
