Code reference,Code link,Source
UD.GDC.AD.T10.05,https://github.com/udacity/ud851-Exercises/tree/student/Lesson10-Hydration-Reminder/T10.05-Solution-ChargingBroadcastReceiver,COURSE
UD.GDC.AD.T10.06,https://github.com/udacity/ud851-Exercises/tree/student/Lesson10-Hydration-Reminder/T10.06-Solution-StickyBroadcastForCharging,COURSE
UD.GDC.AD.S10.01,https://github.com/udacity/ud851-Sunshine/tree/student/S10.01-Solution-SynchronizingTheWeather,COURSE
UD.GDC.AD.S10.02,https://github.com/udacity/ud851-Sunshine/tree/student/S10.02-Solution-SmarterSyncing,COURSE
UD.GDC.AD.S10.03,https://github.com/udacity/ud851-Sunshine/tree/student/S10.03-Solution-FirebaseJobDispatcher,COURSE
UD.GDC.AD.S10.04,https://github.com/udacity/ud851-Sunshine/tree/student/S10.04-Solution-Notifications,COURSE
UD.GDC.AD.T11.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson11-Completeing-The-UI/T11.01-Solution-ConstraintLayout,COURSE
UD.GDC.AD.T11.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson11-Completeing-The-UI/T11.02-Solution-DataBinding,COURSE
UD.GDC.AD.T11.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson11-Completeing-The-UI/T11.03-Solution-LandscapeLayout,COURSE
UD.GDC.AD.S11.01,https://github.com/udacity/ud851-Sunshine/tree/student/S11.01-Solution-NewListItemLayout,COURSE
UD.GDC.AD.S11.02,https://github.com/udacity/ud851-Sunshine/tree/student/S11.02-Solution-TodayListItem,COURSE
UD.GDC.AD.S11.03,https://github.com/udacity/ud851-Sunshine/tree/student/S11.03-Solution-DetailLayoutAndDataBinding,COURSE
UD.GDC.AD.T12.01,https://github.com/udacity/ud851-Exercises/tree/student/Lesson12-Visual-Polish/T12.01-Solution-ColorsAndFonts,COURSE
UD.GDC.AD.T12.02,https://github.com/udacity/ud851-Exercises/tree/student/Lesson12-Visual-Polish/T12.02-Solution-CreateNewStyles,COURSE
UD.GDC.AD.T12.03,https://github.com/udacity/ud851-Exercises/tree/student/Lesson12-Visual-Polish/T12.03-Solution-TabletLayout,COURSE
UD.GDC.AD.T12.04,https://github.com/udacity/ud851-Exercises/tree/student/Lesson12-Visual-Polish/T12.04-Solution-TouchSelector,COURSE
UD.GDC.AD.S12.01,https://github.com/udacity/ud851-Sunshine/tree/student/S12.01-Solution-DimensionsColorsAndFonts,COURSE
UD.GDC.AD.S12.02,https://github.com/udacity/ud851-Sunshine/tree/student/S12.02-Solution-Styles,COURSE
UD.GDC.AD.S12.03,https://github.com/udacity/ud851-Sunshine/tree/student/S12.03-Solution-TouchSelectors,COURSE
UD.GDC.AD.S12.04,https://github.com/udacity/ud851-Sunshine/tree/student/S12.04-Solution-ResourceQualifiers,COURSE
UD.UFT.GH.1,https://github.com/udacity/Sunshine-Version-2/tree/sunshine_master/app/src/main/java/com/example/android/sunshine/app,FORUM
UD.FIW.1.1,https://github.com/udacity/and-nd-firebase,COURSE
